timestamp,event_type,cycle_id,data,metadata
1755192526.0439603,T1_image,cycle_623_1755192526043,640x480,
1755192526.0673933,T5_command,cycle_623_1755192526043,gripper_open,
1755192526.069116,T1_image,cycle_624_1755192526069,640x480,
1755192526.0818975,T6_feedback,cycle_624_1755192526069,success:True,
1755192526.0838099,T4a_wrist_tf,cycle_623_1755192526043,wrist,
1755192526.0949993,T5_command,cycle_624_1755192526069,arm_pose,
1755192526.103916,T1_image,cycle_625_1755192526103,640x480,
1755192526.1099727,T6_feedback,cycle_625_1755192526103,success:True,
1755192526.112576,T4a_wrist_tf,cycle_624_1755192526069,wrist,
1755192526.1350741,T4a_wrist_tf,cycle_625_1755192526103,wrist,
1755192526.136339,T1_image,cycle_626_1755192526136,640x480,
1755192526.1646686,T4a_wrist_tf,cycle_626_1755192526136,wrist,
1755192526.1697009,T1_image,cycle_627_1755192526169,640x480,
1755192526.1896448,T4a_wrist_tf,cycle_627_1755192526169,wrist,
1755192526.203375,T1_image,cycle_628_1755192526203,640x480,
1755192526.2267659,T4a_wrist_tf,cycle_628_1755192526203,wrist,
1755192526.2366095,T1_image,cycle_629_1755192526236,640x480,
1755192526.2648098,T4a_wrist_tf,cycle_629_1755192526236,wrist,
1755192526.2714102,T5_command,cycle_629_1755192526236,gripper_open,
1755192526.2752814,T1_image,cycle_630_1755192526275,640x480,
